count,species
43,Festuca varia
88,Festuca versicolor
174,Achillea clusiana
206,Seseli osseum
260,Allium senescens
332,Festuca glauca
412,Ranunculus pyrenaeus
419,Crepis jacquinii
479,Trisetum alpestre
488,Erysimum odoratum
500,Festuca pallens
524,Festuca airoides
600,Campanula alpina
623,Festuca eskia
723,Arabis caerulea
770,Potentilla brauneana
861,Pentanema ensifolium
977,Pilosella glacialis
999,Omalotheca hoppeana
1040,Salvia nutans
1071,Androsace chamaejasme
1110,Ononis striata
1157,Carex mucronata
1184,Leontodon incanus
1190,Alchemilla pentaphyllea
1205,Arenaria biflora
1238,Pedicularis rostratocapitata
1271,Oreochloa disticha
1428,Alchemilla fissa
1435,Gentiana alpina
1475,Achillea atrata
1627,Helianthemum alpestre
1650,Sempervivum globiferum
1660,Thesium humifusum
1719,Thesium divaricatum
1788,Inula montana
1791,Iris pumila
1843,Helianthemum canum
1878,Primula minima
1907,Saxifraga androsacea
1945,Artemisia austriaca
2026,Soldanella pusilla
2066,Potentilla incana
2092,Ranunculus pygmaeus
2268,Carex firma
2366,Saxifraga caesia
2380,Hieracium villosum
2389,Festuca quadriflora
2401,Saxifraga cespitosa
2471,Onobrychis supina
2471,Verbascum phoeniceum
2608,Veronica bellidioides
2677,Ranunculus alpestris
2688,Saxifraga cernua
2706,Scorzoneroides helvetica
2715,Festuca valesiaca
2917,Carex curvula
3018,Luzula alpinopilosa
3085,Gentiana bavarica
3131,Sedum alpestre
3197,Hieracium alpinum
3368,Mutellina adonidifolia
3434,Cardamine bellidifolia
3593,Trinia glauca
3602,Primula auricula
3646,Hornungia alpina
3741,Euphrasia salisburgensis
3798,Helictochloa versicolor
3807,Gentiana clusii
3930,Stipa capillata
3934,Centaurea stoebe
3984,Salvia nemorosa
4296,Anthyllis montana
4358,Euphrasia minima
4380,Linum suffruticosum
4464,Agrostis rupestris
4627,Leontopodium nivale
4706,Leucanthemopsis alpina
4800,Scabiosa ochroleuca
5021,Phyteuma hemisphaericum
5113,Festuca marginata
5238,Sagina saginoides
5912,Dichodon cerastoides
5936,Galium anisophyllon
5992,Festuca filiformis
6098,Fumana procumbens
6114,Falcaria vulgaris
6175,Scabiosa lucida
6215,Ranunculus glacialis
6263,Cirsium acaulon
6406,Bothriochloa ischaemum
6414,Polygala comosa
6489,Helianthemum italicum
6654,Aster alpinus
6780,Hornungia petraea
6799,Seseli montanum
7148,Campanula cochleariifolia
7349,Astragalus monspessulanus
7417,Bellidiastrum michelii
7421,Trifolium alpinum
7695,Anthericum ramosum
7709,Carex sempervirens
8040,Koeleria pyramidata
8776,Potentilla aurea
8877,Lavandula angustifolia
8940,Helianthemum apenninum
9625,Geum montanum
9778,Carex humilis
9793,Sibbaldia procumbens
9939,Coronilla minima
10110,Melica ciliata
10117,Globularia bisnagarica
10872,Koeleria vallesiana
10953,Fragaria viridis
10954,Oxyria digyna
11143,Veronica alpina
12362,Thymus serpyllum
12396,Alyssum alyssoides
12454,Teucrium montanum
13223,Medicago falcata
13476,Micranthes stellaris
13877,Phyteuma orbiculare
14230,Clinopodium acinos
14245,Cynanchica pyrenaica
14633,Saxifraga tridactylites
15689,Helictochloa pratensis
15751,Carex halleriana
15828,Sesleria caerulea
16204,Salix herbacea
16891,Trifolium montanum
17673,Dryas octopetala
20586,Stachys recta
21827,Poa alpina
22342,Aphyllanthes monspeliensis
22391,Thymus pulegioides
22530,Scabiosa columbaria
24670,Arnica montana
24735,Potentilla verna
25338,Hippocrepis comosa
25803,Viola hirta
26836,Thymus vulgaris
36910,Bromus erectus
37095,Teucrium chamaedrys
38030,Salvia pratensis
39261,Sedum album
40120,Brachypodium pinnatum
40743,Draba verna
42618,Danthonia decumbens
42766,Centaurea scabiosa
43708,Arenaria serpyllifolia
44071,Eryngium campestre
44139,Leontodon hispidus
44417,Linum catharticum
49240,Galium saxatile
54538,Sedum acre
54872,Plantago media
55001,Poterium sanguisorba
61027,Briza media
64336,Carex pilulifera
67936,Euphorbia cyparissias
75762,Pimpinella saxifraga
76666,Nardus stricta
77960,Luzula campestris
92894,Knautia arvensis
112708,Galium verum
167345,Potentilla erecta
170701,Agrostis capillaris
