wave	array_job_id	species_indices	dependency
1	49507005	1-3	none
2	49507006	4-6	afterok:49507005
3	49507009	7-9	afterok:49507006
4	49507010	10-12	afterok:49507009
5	49507011	13-15	afterok:49507010
6	49507012	16-18	afterok:49507011
7	49507013	19-21	afterok:49507012
8	49507014	22-24	afterok:49507013
9	49507016	25-27	afterok:49507014
10	49507017	28-30	afterok:49507016
11	49507018	31-33	afterok:49507017
12	49507019	34-36	afterok:49507018
13	49507020	37-39	afterok:49507019
14	49507021	40-42	afterok:49507020
15	49507022	43-45	afterok:49507021
16	49507023	46-48	afterok:49507022
17	49507024	49-51	afterok:49507023
18	49507025	52-54	afterok:49507024
19	49507026	55-57	afterok:49507025
20	49507027	58-60	afterok:49507026
21	49507028	61-63	afterok:49507027
22	49507029	64-66	afterok:49507028
23	49507030	67-69	afterok:49507029
24	49507031	70-72	afterok:49507030
25	49507032	73-75	afterok:49507031
26	49507033	76-78	afterok:49507032
27	49507034	79-81	afterok:49507033
28	49507035	82-84	afterok:49507034
29	49507036	85-87	afterok:49507035
30	49507037	88-90	afterok:49507036
31	49507041	91-93	afterok:49507037
32	49507043	94-96	afterok:49507041
33	49507044	97-99	afterok:49507043
34	49507045	100-102	afterok:49507044
35	49507046	103-105	afterok:49507045
36	49507047	106-108	afterok:49507046
37	49507048	109-111	afterok:49507047
38	49507049	112-114	afterok:49507048
39	49507050	115-117	afterok:49507049
40	49507051	118-120	afterok:49507050
41	49507052	121-123	afterok:49507051
42	49507053	124-126	afterok:49507052
43	49507054	127-129	afterok:49507053
44	49507055	130-132	afterok:49507054
45	49507056	133-135	afterok:49507055
46	49507057	136-138	afterok:49507056
47	49507058	139-141	afterok:49507057
48	49507059	142-144	afterok:49507058
49	49507060	145-147	afterok:49507059
50	49507061	148-150	afterok:49507060
51	49507062	151-153	afterok:49507061
52	49507063	154-156	afterok:49507062
53	49507064	157-159	afterok:49507063
54	49507065	160-162	afterok:49507064
55	49507066	163-165	afterok:49507065
56	49507067	166-167	afterok:49507066
