JobIDRaw|JobID|JobName|State|ExitCode|Elapsed|TotalCPU|CPUTime|AllocCPUS|AllocTRES|MaxRSS|MaxVMSize|Start|End
47510575|47510573_1|r_singularity|COMPLETED|0:0|11:32:53|1-04:45:58|26-22:41:28|56|billing=56,cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-06-21T14:56:09|2026-06-22T02:29:02
47510575.batch|47510573_1.batch|batch|COMPLETED|0:0|11:32:53|1-04:45:58|26-22:41:28|56|cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|377666264K|380131260K|2026-06-21T14:56:09|2026-06-22T02:29:02
47510576|47510573_2|r_singularity|CANCELLED by 131297|0:0|18:23:46|20:27:37|42-22:10:56|56|billing=56,cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-06-21T14:56:09|2026-06-22T09:19:55
47510576.batch|47510573_2.batch|batch|OUT_OF_MEMORY|0:125|18:23:49|20:27:37|42-22:13:44|56|cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|493332916K|495737848K|2026-06-21T14:56:09|2026-06-22T09:19:58
47510573|47510573_3|r_singularity|CANCELLED by 131297|0:0|18:23:46|21:42:42|42-22:10:56|56|billing=56,cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-06-21T14:56:09|2026-06-22T09:19:55
47510573.batch|47510573_3.batch|batch|OUT_OF_MEMORY|0:125|18:23:53|21:42:42|42-22:17:28|56|cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|487809296K|491695236K|2026-06-21T14:56:09|2026-06-22T09:20:02
47574798|47574797_2|r_singularity|COMPLETED|0:0|03:11:33|03:24:58|7-10:46:48|56|billing=56,cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-06-22T09:43:11|2026-06-22T12:54:44
47574798.batch|47574797_2.batch|batch|COMPLETED|0:0|03:11:33|03:24:58|7-10:46:48|56|cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|164558384K|165584064K|2026-06-22T09:43:11|2026-06-22T12:54:44
47574797|47574797_3|r_singularity|COMPLETED|0:0|22:59:26|23:55:28|53-15:28:16|56|billing=56,cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|||2026-06-22T09:43:11|2026-06-23T08:42:37
47574797.batch|47574797_3.batch|batch|COMPLETED|0:0|22:59:26|23:55:28|53-15:28:16|56|cpu=56,gres/tmpfs=10737418240,mem=505856000K,node=1|284819528K|291101784K|2026-06-22T09:43:11|2026-06-23T08:42:37
